name,ticker,isin,city,revenue turnover,num employees,return on total assets,type of share,market price
AGILENT TECHNOLOGIES INC,A,US00846U1016,SANTA CLARA,1203000,14500,2.9,Ordinary Shares,114.19
"YUM! BRANDS, INC.",YUM,US9884981013,LOUISVILLE,1391000,,12.85,Ordinary Shares,127.83
TAPESTRY INC,TPR,US8760301072,NEW YORK,1483700,,2.59,Ordinary Shares,30.1
RALPH LAUREN CORPORATION,RL,US7512121010,NEW YORK,1390600,,2.2,Ordinary Shares   Class A,120.7
MCCORMICK & COMPANY INC,MKC,US5797802064,HUNT VALLEY,1318200,,1.85,Ordinary Shares (Non Voting),66.04
HANESBRANDS INC.,HBI,US4103451021,WINSTON-SALEM,1715443,,2.22,Ordinary Shares,4.17
ORGANON & CO.,OGN,US68622V1061,KENILWORTH,,,,Ordinary Shares,10.95
MARTIN MARIETTA MATERIALS INC,MLM,US5732841060,RALEIGH,1219640,,2.18,Ordinary Shares,460.01
AMETEK INC,AME,US0311001004,BERWYN,1192962,,3.02,Ordinary Shares,153.97
"BROADRIDGE FINANCIAL SOLUTIONS, INC.",BR,US11133T1034,LAKE SUCCESS,972800,,2.64,Ordinary Shares,181.21
"PROLOGIS, INC.",PLD,US74340W1036,SAN FRANCISCO,682432,,1.02,Ordinary Shares,110.27
INGERSOLL RAND INC.,IR,US45687V1061,DAVIDSON,689300,,2.1,Ordinary Shares,70.2
"UNDER ARMOUR, INC.",UAA,US9043111072,BALTIMORE,1174859,,-2.86,Ordinary Shares   Class A,7.61
INVESCO LTD,IVZ,BMG491BT1088,HAMILTON,,,,Ordinary Shares,13.71
WELLTOWER INC,WELL,US95040Q1040,TOLEDO,1236379,,0.2,Ordinary Shares,86.77
NISOURCE INC,NI,US65473P1057,MERRILLVILLE,895000,,-2.1,Ordinary Shares,25.77
FORTIVE CORPORATION,FTV,US34959J1088,EVERETT,1601200,,1.86,Ordinary Shares,67.63
FMC CORP,FMC,US3024913036,PHILADELPHIA,1154400,,1.02,Ordinary Shares,53.43
HOWMET AEROSPACE INC.,HWM,US4432011082,PITTSBURGH,3524000,,1.36,Ordinary Shares,51.53
SEALED AIR CORP,SEE,US81211K1007,CHARLOTTE,1186200,,2.18,Ordinary Shares,33.15
XYLEM INC.,XYL,US98419M1009,RYE BROOK,1287000,,2.2,Ordinary Shares,101.26
GARTNER INC,IT,US3666511072,STAMFORD,921674,,0.64,Ordinary Shares,420.1
MOODY'S CORPORATION,MCO,US6153691059,NEW YORK,1080800,12621,4.89,Ordinary Shares,353.57
TELEDYNE TECHNOLOGIES INCORPORATED,TDY,US8793601050,THOUSAND OAKS,725300,,2.56,Ordinary Shares,389.65
TRANSDIGM GROUP INCORPORATED,TDG,US8936411003,CLEVELAND,980662,,2.25,Ordinary Shares,986.95
"KEYSIGHT TECHNOLOGIES, INC.",KEYS,US49338L1035,SANTA ROSA,1004000,12900,1.93,Ordinary Shares,132.8
EDWARDS LIFESCIENCES CORP,EW,US28176E1082,IRVINE,906600,,4.17,Ordinary Shares,67.47
CHURCH & DWIGHT CO INC,CHD,US1713401024,EWING,1037600,,3.14,Ordinary Shares,92.88
"LAMB WESTON HOLDINGS, INC.",LW,US5132721045,EAGLE,914900,,4.41,Ordinary Shares,95.7
JUNIPER NETWORKS INC,JNPR,US48203R1041,SUNNYVALE,1179800,,1.67,Ordinary Shares,26.82
SIMON PROPERTY GROUP INC,SPG,US8288061091,INDIANAPOLIS,1404021,,2.07,Ordinary Shares,120.42
LEGGETT & PLATT INC,LEG,US5246601075,CARTHAGE,1091500,22500,3.19,Ordinary Shares,23.73
EQUIFAX INC,EFX,US2944291051,ATLANTA,834200,,0.54,Ordinary Shares,200.38
IRON MOUNTAIN INC,IRM,US46284V1017,BOSTON,1060991,,0.77,Ordinary Shares,62.03
STERIS PLC,STE,IE00BFY8C754,DUBLIN 2,1284793,,2.34,,
NORWEGIAN CRUISE LINE HOLDINGS LTD.,NCLH,BMG667211046,HAMILTON,3749203,,4.4,Ordinary Shares,14.63
SNAP-ON INCORPORATED,SNA,US8330341012,KENOSHA,980100,,4.09,Ordinary Shares,274.72
"FORTUNE BRANDS HOME & SECURITY, INC.",FBHS,US34964C1062,DEERFIELD,1380800,,2.23,Ordinary Shares,66.16
"DIGITAL REALTY TRUST, INC.",DLR,US2538681030,SAN FRANCISCO,768924,,0.43,Ordinary Shares,135.15
GENERAC HOLDINGS INC.,GNRC,US3687361044,WAUKESHA,497581,,3.29,Ordinary Shares,113.48
"DOMINO'S PIZZA, INC.",DPZ,US25754A2015,ANN ARBOR,785965,,10.88,Ordinary Shares,374.74
WESTERN UNION CO. (THE),WU,US9598021098,DENVER,1387800,,2.96,Ordinary Shares,12
"ARISTA NETWORKS, INC.",ANET,US0404131064,SANTA CLARA,563309,,6.77,Ordinary Shares,213.3
PINNACLE WEST CAPITAL CORP,PNW,US7234841010,PHOENIX,1268034,,2.29,Ordinary Shares,72.39
"CATALENT, INC.",CTLT,US1488061029,SOMERSET,685300,,1.97,Ordinary Shares,39.74
BROWN FORMAN CORP,BF.B,US1156372096,LOUISVILLE,766000,,4.82,Ordinary Shares   Class B,57.69
RESMED INC,RMD,US7611521078,SAN DIEGO,588279,,4.53,Ordinary Shares,148.9
ALLIANT ENERGY CORP,LNT,US0188021085,MADISON,928600,,1.44,Ordinary Shares,49.48
ATMOS ENERGY CORP,ATO,US0495601058,DALLAS,562245,,0.85,Ordinary Shares,114.05
PUBLIC STORAGE,PSA,US74460D1090,GLENDALE,706368,,3.53,Ordinary Shares,259.51
"VENTAS, INC.",VTR,US92276F1003,CHICAGO,936538,,0.42,Ordinary Shares,44.65
PENTAIR PLC,PNR,IE00BLS09M33,DUBLIN,1183500,,0.88,Ordinary Shares,62.89
LAS VEGAS SANDS CORP.,LVS,US5178341070,LAS VEGAS,3372000,,3.35,Ordinary Shares,49.12
CHARLES RIVER LABORATORIES INTERNATIONAL INC,CRL,US1598641074,WILMINGTON,585301,,1.82,Ordinary Shares,189.56
CBOE GLOBAL MARKETS INC.,CBOE,US12503M1080,CHICAGO,575900,,2.27,Ordinary Shares,177.04
METTLER TOLEDO INTERNATIONAL INC,MTD,US5926881054,LUTZ,721996,,5.61,Ordinary Shares,"1,049.73"
"AMERICAN WATER WORKS COMPANY, INC.",AWK,US0304201033,CAMDEN,976000,,1.22,Ordinary Shares,130.99
A. O. SMITH CORPORATION,AOS,US8318652091,MILWAUKEE,754100,,4.35,Ordinary Shares,75.64
BROWN & BROWN INC,BRO,US1152361010,DAYTONA BEACH,530850,,2.46,Ordinary Shares,73.2
COMERICA INCORPORATED,CMA,US2003401070,DALLAS,838631,7868,0.58,Ordinary Shares,44.34
"FLEETCOR TECHNOLOGIES, INC.",FLT,US3390411052,NORCROSS,584985,,2.01,Ordinary Shares,231.99
REALTY INCOME CORP,O,US7561091049,SAN DIEGO,328886,165,0.67,Ordinary Shares,53.09
ALLEGION PLC,ALLE,IE00BFRT3W74,DUBLIN,548800,,3.77,Ordinary Shares,105.95
IDEX CORP,IEX,US45167R1041,LAKE FOREST,622888,,3.75,Ordinary Shares,197.59
BOSTON PROPERTIES INC,BXP,US1011211018,BOSTON,686284,,0.75,Ordinary Shares,55.23
WATERS CORP,WAT,US9418481035,MILFORD,596219,,4.2,Ordinary Shares,266.2
"WEST PHARMACEUTICAL SERVICES, INC.",WST,US9553061055,EXTON,431700,,3.14,Ordinary Shares,344.23
BIO RAD LABORATORIES INC,BIO,US0905722072,HERCULES,545138,,5.21,Ordinary Shares   Class A,304.5
TELEFLEX INC,TFX,US8793691069,WAYNE,609672,,0.89,Ordinary Shares,213.64
EQUITY RESIDENTIAL,EQR,US29476L1070,CHICAGO,652867,,1.1,Ordinary Shares,55.44
ROLLINS INC,ROL,US7757111049,ATLANTA,487739,,7.96,Ordinary Shares,39.64
ALEXANDRIA REAL ESTATE EQUITIES INC,ARE,US0152711091,PASADENA,341823,,1.56,Ordinary Shares,103.81
AVALONBAY COMMUNITIES INC,AVB,US0534841012,ARLINGTON,1130033,,2.12,Ordinary Shares,169.82
MSCI INC.,MSCI,US55354G1004,NEW YORK,357934,3121,3.86,Ordinary Shares,524.27
"HEALTHPEAK PROPERTIES, INC.",PEAK,US42250P1030,IRVINE,456022,,0.76,Ordinary Shares,16.55
MID AMERICA APARTMENT COMMUNITIES INC,MAA,US59522J1034,GERMANTOWN,390073,,0.54,Ordinary Shares,121.8
"EXTRA SPACE STORAGE, INC.",EXR,US30225T1025,SALT LAKE CITY,582298,,2.61,Ordinary Shares,130.1
TYLER TECHNOLOGIES INC,TYL,US9022521051,PLANO,236067,4447,2.07,Ordinary Shares,417.68
VORNADO REALTY TRUST,VNO,US9290421091,NEW YORK,542048,,1.33,Ordinary Shares,22.32
KIMCO REALTY CORP,KIM,US49446R1095,NEW HYDE PARK,283080,,0.46,Ordinary Shares,18.78
ESSEX PROPERTY TRUST INC,ESS,US2971781057,SAN MATEO,350917,,0.69,Ordinary Shares,211.57
"UDR, INC.",UDR,US9026531049,HIGHLAND RANCH,266144,,0.27,Ordinary Shares,33
"PAYCOM SOFTWARE, INC.",PAYC,US70432V1026,OKLAHOMA CITY,133288,,2.48,Ordinary Shares,173.65
CERIDIAN HCM HOLDING INC.,CDAY,US15677J1088,MINNEAPOLIS,178100,,0.11,Ordinary Shares,67.24
FEDERAL REALTY INVESTMENT TRUST,FRT,US3137451015,NORTH BETHESDA,224902,,1.04,Ordinary Shares,92.54
LOEWS CORP.,L,US5404241086,NEW YORK,,,,Ordinary Shares,67.06
GLOBE LIFE INC.,GL,US37959E1029,MCKINNEY,,,,Ordinary Shares,117.41
UNITEDHEALTH GROUP INC.,UNH,US91324P1021,MINNETONKA,,,,Ordinary Shares,539.82
AFLAC INC.,AFL,US0010551028,COLUMBUS,,,,Ordinary Shares,81.11
THE HARTFORD FINANCIAL SERVICES GROUP INC.,HIG,US4165151048,WILMINGTON,,,,Ordinary Shares,76.35
HUMANA INC.,HUM,US4448591028,LOUISVILLE,,,,Ordinary Shares,512.91
ASSURANT INC.,AIZ,US04621X1081,NEW YORK,,,,Ordinary Shares,159.94
CENTENE CORP,CNC,US15135B1017,ST LOUIS,,,,Ordinary Shares,73.21
THE CIGNA GROUP,CI,US1255231003,BLOOMFIELD,,,,Ordinary Shares,282.24
